id|name|usuario|email|pasaporte|cedula|password|tipo|status|deleted_at|remember_token|created_at|updated_at|observaciones
32|CCB TRUST CORP|usuario32|usuario32@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
33|SW RENTALS, S.A.|usuario33|usuario33@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
34|RAUL CHANG RIVAS|usuario34|usuario34@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
35|SILCRIS,S.A.|usuario35|usuario35@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
36|SEAWAVES 14D, S.A.,|usuario36|usuario36@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
37|ARCOS DE AGUA S.A.|usuario37|usuario37@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.22 
38|16 WAVES ,S.A.|usuario38|usuario38@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.90 
39|INVERSIONES EL ANCLA PANAMA, S.A.|usuario39|usuario39@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $164.66 
40|JORGE LUIS LOPEZ PEREZ|usuario40|usuario40@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $163.56 
41|PROMOTORA CARIBE, S.A.|usuario41|usuario41@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.22 
42|CHEN PROPERTY, INC.,|usuario42|usuario42@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.90 
43|SEAWAVES 16C,S.A.|usuario43|usuario43@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $164.66 
44|GABRIELA ANGELINA ULLOA VALDES|usuario44|usuario44@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $163.56 
45|MEITNER GONZALEZ CAZORLA|usuario45|usuario45@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.22 
46|OSCAR LAHUERTA ALMAZAN, CELIA LAHUERTA ALMANZAN|usuario46|usuario46@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.90 
47|VALERIA ROSALES PADILLA|usuario47|usuario47@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $164.66 
48|ENRICO GUIDI|usuario48|usuario48@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
49|OSCAR LAHUERTA ALMAZAN, CELIA LAHUERTA ALMAZAN|usuario49|usuario49@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
50|SHI LU CHEN, KATIA CHEN ZHENG|usuario50|usuario50@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
51|DESIREE DE LA ESPIRELLA|usuario51|usuario51@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
52|INDIRA ODILIA RICHARDS RUIZ, VERNE GILMORE RICHARDS HEWITT|usuario52|usuario52@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
53|THE SEAWAVES 19A CORP.|usuario53|usuario53@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
54|THE SEAWAVES 19.B CORP.|usuario54|usuario54@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
55|SIMA SW,S.A|usuario55|usuario55@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
56|FUNDACION LOS CANEYES|usuario56|usuario56@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
57|VALDIR ALFONSO MONTUFAR BARRERA|usuario57|usuario57@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
58|MARIA DE LA LUZ LEAL QUINTANILLA, ROLANDO GABRIEL ABREGO BAL|usuario58|usuario58@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
59|EDWIN ABDIEL CEDEÑO VILLARREAL|usuario59|usuario59@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
60|ANA MAE DELGADO ALVARADO|usuario60|usuario60@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
61|WAVES 21,A., S.A.|usuario61|usuario61@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
62|JOSE ANTONIO LORENZO PALMA, GABRIELA ELISA APARICIO OSES|usuario62|usuario62@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
63|SINAN OKUR|usuario63|usuario63@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
64|QIN HONG SUN, MEIXIAN ZHANG|usuario64|usuario64@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
65|FUNDACION TORRIMAE|usuario65|usuario65@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
66|THE SEAWAVES 22B CORP.|usuario66|usuario66@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
67|PROMOTORA CARIBE,S.A.|usuario67|usuario67@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
68|RAFAEL GUARISMA AGUILAR|usuario68|usuario68@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
69|ROFUER FOUNDATION.|usuario69|usuario69@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
70|PROMOTORA CARIBE, S.A.|usuario70|usuario70@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
71|ESTEBAN SEBASTIAN GARCIA., MARINA PAULA JUANES|usuario71|usuario71@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
72|MARCO ANTONIO BARREIRO CONTIN|usuario72|usuario72@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
73|GILDA MIRELLA MARTINEZ DE DE LA GUARDIA|usuario73|usuario73@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.22 
74|SW RENTAL, S.A.|usuario74|usuario74@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.90 
75|ROBERTO BENI AYERBE, LAURA ESTEBAN AGUDO|usuario75|usuario75@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $153.27 
76|ANDREA DE RISI|usuario76|usuario76@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $167.45 
77|GERMAN IGNACIO TORRES, ZORAIDA RODRIGUEZ DE TORRES|usuario77|usuario77@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.22 
78|HENRICUS PETRUS JOHANNES MARIA LEIJTEN, GLADYS HURTADO MUÑOZ|usuario78|usuario78@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.90 
79|OLAS 25 C, S.A.|usuario79|usuario79@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $153.27 
80|THE SEAWAVES 25D,S.A|usuario80|usuario80@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $167.45 
81|MARICEL GARRIDO DE VARGAS, PASCUAL BARBARO VARGAS VILLAR|usuario81|usuario81@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.22 
82|GABRIELA ALEGRE PANAY|usuario82|usuario82@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $194.90 
83|PANSEA, INC.|usuario83|usuario83@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
84|DANIEL ESTEBAN MENDOZA, JOHANNA MARIA HERRERA MARINO|usuario84|usuario84@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
85|OSCAR RONALDO LEON OLIVA|usuario85|usuario85@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
86|LADY BIVIANA EUSSE TANGARIFE|usuario86|usuario86@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
87|PATEL MOHANBHAI JERAM, AMAR MOHANBHAI PATEL|usuario87|usuario87@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
88|FUNDACION MIGFRE2009|usuario88|usuario88@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
89|MARIA LUCIA AMEGLIO VELASQUEZ|usuario89|usuario89@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
90|BETSY CRITINA VAN PRAAG BRACHO|usuario90|usuario90@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
91|AGUSTIN LISANDRO LOPEZ TORRES|usuario91|usuario91@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
92|OMAIRA MICHELLE RODRIGUEZ DORATI, ROBERTO GONZALEZ JIMENEZ|usuario92|usuario92@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
93|EDGARDO GALARZA ALTAMIRANDA, LUCIA MARGARITA RUSSO DE GALARZA|usuario93|usuario93@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
94|DIPAKKUMAR RAMANLAL PATEL|usuario94|usuario94@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
95|JONATHAN JONES|usuario95|usuario95@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
96|ASIANATLANTIC INVESTMENTS, CORP.|usuario96|usuario96@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
97|FUNDACION LAXMI NARAYANA|usuario97|usuario97@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
98|ECO CORPORATION.|usuario98|usuario98@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
99|BLANCA NIEVES FLAMMIA|usuario99|usuario99@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
100|FUNDACION EL NIÑO SANTO DE MAHOU|usuario100|usuario100@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
